Kode Kecamatan,Kecamatan,Kode Kelurahan,Kelurahan,Jumlah Keluarga Miskin,Jumlah Individu
32.73.05,Andir,32.73.05.1006,Campaka,2553,7328
32.73.05,Andir,32.73.05.1003,Ciroyom,3443,10205
32.73.05,Andir,32.73.05.1002,Dungus Cariang,3125,8710
32.73.05,Andir,32.73.05.1005,Garuda,1666,4812
32.73.05,Andir,32.73.05.1004,Kebon Jeruk,1537,3875
32.73.05,Andir,32.73.05.1001,Maleber,2948,8388
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,1683,4248
32.73.20,Antapani,32.73.20.1001,Antapani Kulon,1127,2997
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,2065,5469
32.73.20,Antapani,32.73.20.1006,Antapani Wetan,2101,5779
32.73.24,Arcamanik,32.73.24.1002,Cisaranten Bina Harapan,2066,5883
32.73.24,Arcamanik,32.73.24.1004,Cisaranten Endah,2437,6967
32.73.24,Arcamanik,32.73.24.1003,Cisaranten Kulon,2636,7036
32.73.24,Arcamanik,32.73.24.1001,Sukamiskin,2001,5448
32.73.10,Astanaanyar,32.73.10.1005,Cibadak,1709,4638
32.73.10,Astanaanyar,32.73.10.1003,Karang Anyar,590,1439
32.73.10,Astanaanyar,32.73.10.1001,Karasak,1730,4881
32.73.10,Astanaanyar,32.73.10.1002,Nyengseret,2029,5694
32.73.10,Astanaanyar,32.73.10.1004,Panjunan,1110,3185
32.73.10,Astanaanyar,32.73.10.1006,Pelindung Hewan,2290,6112
32.73.03,Babakan Ciparay,32.73.03.1002,Babakan,5430,15472
32.73.03,Babakan Ciparay,32.73.03.1001,Babakan Ciparay,4798,13093
32.73.03,Babakan Ciparay,32.73.03.1006,Cirangrang,1864,5325
32.73.03,Babakan Ciparay,32.73.03.1004,Margahayu Utara,3108,8344
32.73.03,Babakan Ciparay,32.73.03.1005,Margasuka,2161,6036
32.73.03,Babakan Ciparay,32.73.03.1003,Sukahaji,5528,16123
32.73.21,Bandung Kidul,32.73.21.1001,Batununggal,2377,6191
32.73.21,Bandung Kidul,32.73.21.1004,Kujangsari,2943,8271
32.73.21,Bandung Kidul,32.73.21.1003,Mengger,1103,2859
32.73.21,Bandung Kidul,32.73.21.1002,Wates,1397,3671
32.73.15,Bandung Kulon,32.73.15.1004,Caringin,963,2709
32.73.15,Bandung Kulon,32.73.15.1002,Cibuntu,2571,6644
32.73.15,Bandung Kulon,32.73.15.1005,Cigondewah Kaler,3376,9610
32.73.15,Bandung Kulon,32.73.15.1008,Cigondewah Kidul,1130,3096
32.73.15,Bandung Kulon,32.73.15.1007,Cigondewah Rahayu,1458,3839
32.73.15,Bandung Kulon,32.73.15.1001,Cijerah,3677,9980
32.73.15,Bandung Kulon,32.73.15.1006,Gempol Sari,2147,5478
32.73.15,Bandung Kulon,32.73.15.1003,Warung Muncang,4060,11611
32.73.09,Bandung Wetan,32.73.09.1001,Cihapit,106,247
32.73.09,Bandung Wetan,32.73.09.1003,Citarum,96,240
32.73.09,Bandung Wetan,32.73.09.1002,Taman Sari,3008,7882
32.73.12,Batununggal,32.73.12.1008,Binong,2855,7675
32.73.12,Batununggal,32.73.12.1003,Cibangkong,2510,6387
32.73.12,Batununggal,32.73.12.1001,Gumuruh,2448,6465
32.73.12,Batununggal,32.73.12.1004,Kacapiring,1431,3789
32.73.12,Batununggal,32.73.12.1006,Kebon Gedang,1525,3968
32.73.12,Batununggal,32.73.12.1005,Kebon Waru,2709,7637
32.73.12,Batununggal,32.73.12.1002,Maleer,3309,8918
32.73.12,Batununggal,32.73.12.1007,Samoja,2261,6110
32.73.04,Bojongloa Kaler,32.73.04.1004,Babakan Asih,2944,8421
32.73.04,Bojongloa Kaler,32.73.04.1002,Babakan Tarogong,5711,17219
32.73.04,Bojongloa Kaler,32.73.04.1003,Jamika,5224,15274
32.73.04,Bojongloa Kaler,32.73.04.1001,Kopo,6170,18772
32.73.04,Bojongloa Kaler,32.73.04.1005,Suka Asih,3861,11852
32.73.17,Bojongloa Kidul,32.73.17.1003,Cibaduyut,2062,5596
32.73.17,Bojongloa Kidul,32.73.17.1005,Cibaduyut Kidul,1535,4049
32.73.17,Bojongloa Kidul,32.73.17.1006,Cibaduyut Wetan,983,2634
32.73.17,Bojongloa Kidul,32.73.17.1002,Kebon Lega,2897,7529
32.73.17,Bojongloa Kidul,32.73.17.1004,Mekar Wangi,1850,4676
32.73.17,Bojongloa Kidul,32.73.17.1001,Situsaeur,3108,8405
