Kode Kecamatan,Kecamatan,Jenis Bansos,Jumlah KPM
32.73.05,Andir,BPNT,4427
32.73.05,Andir,PKH,1913
32.73.05,Andir,PBI-JK,17878
32.73.20,Antapani,BPNT,1691
32.73.20,Antapani,PKH,868
32.73.20,Antapani,PBI-JK,7592
32.73.24,Arcamanik,BPNT,2452
32.73.24,Arcamanik,PKH,1205
32.73.24,Arcamanik,PBI-JK,10743
32.73.10,Astanaanyar,BPNT,2188
32.73.10,Astanaanyar,PKH,1093
32.73.10,Astanaanyar,PBI-JK,11928
32.73.03,Babakan Ciparay,BPNT,7416
32.73.03,Babakan Ciparay,PKH,3470
32.73.03,Babakan Ciparay,PBI-JK,31468
32.73.21,Bandung Kidul,BPNT,2190
32.73.21,Bandung Kidul,PKH,1273
32.73.21,Bandung Kidul,PBI-JK,10405
32.73.15,Bandung Kulon,BPNT,5391
32.73.15,Bandung Kulon,PKH,3060
32.73.15,Bandung Kulon,PBI-JK,27678
32.73.09,Bandung Wetan,BPNT,829
32.73.09,Bandung Wetan,PKH,451
32.73.09,Bandung Wetan,PBI-JK,3368
32.73.12,Batununggal,BPNT,4328
32.73.12,Batununggal,PKH,2341
32.73.12,Batununggal,PBI-JK,21677
32.73.04,Bojongloa Kaler,BPNT,8475
32.73.04,Bojongloa Kaler,PKH,3671
32.73.04,Bojongloa Kaler,PBI-JK,34688
32.73.17,Bojongloa Kidul,BPNT,3856
32.73.17,Bojongloa Kidul,PKH,2065
32.73.17,Bojongloa Kidul,PBI-JK,18011
32.73.22,Buahbatu,BPNT,3012
32.73.22,Buahbatu,PKH,1385
32.73.22,Buahbatu,PBI-JK,13937
32.73.18,Cibeunying Kaler,BPNT,1859
32.73.18,Cibeunying Kaler,PKH,959
32.73.18,Cibeunying Kaler,PBI-JK,7911
32.73.14,Cibeunying Kidul,BPNT,3573
32.73.14,Cibeunying Kidul,PKH,1943
32.73.14,Cibeunying Kidul,PBI-JK,15364
32.73.25,Cibiru,BPNT,2784
32.73.25,Cibiru,PKH,1648
32.73.25,Cibiru,PBI-JK,12331
32.73.06,Cicendo,BPNT,3539
32.73.06,Cicendo,PKH,1452
32.73.06,Cicendo,PBI-JK,12684
32.73.08,Cidadap,BPNT,2126
32.73.08,Cidadap,PKH,880
32.73.08,Cidadap,PBI-JK,6827
32.73.29,Cinambo,BPNT,1227
32.73.29,Cinambo,PKH,622
32.73.29,Cinambo,PBI-JK,4170
32.73.02,Coblong,BPNT,4061
32.73.02,Coblong,PKH,1799
32.73.02,Coblong,PBI-JK,16713
32.73.27,Gedebage,BPNT,1216
32.73.27,Gedebage,PKH,670
32.73.27,Gedebage,PBI-JK,4526
32.73.16,Kiaracondong,BPNT,5119
32.73.16,Kiaracondong,PKH,2391
32.73.16,Kiaracondong,PBI-JK,23076
32.73.13,Lengkong,BPNT,1735
32.73.13,Lengkong,PKH,749
32.73.13,Lengkong,PBI-JK,8209
32.73.30,Mandalajati,BPNT,2590
32.73.30,Mandalajati,PKH,1279
32.73.30,Mandalajati,PBI-JK,11906
32.73.28,Panyileukan,BPNT,1098
32.73.28,Panyileukan,PKH,493
32.73.28,Panyileukan,PBI-JK,4384
32.73.23,Rancasari,BPNT,1903
32.73.23,Rancasari,PKH,1036
32.73.23,Rancasari,PBI-JK,8389
32.73.11,Regol,BPNT,2504
32.73.11,Regol,PKH,1244
32.73.11,Regol,PBI-JK,11546
32.73.07,Sukajadi,BPNT,5079
32.73.07,Sukajadi,PKH,2258
32.73.07,Sukajadi,PBI-JK,20262
32.73.01,Sukasari,BPNT,2229
32.73.01,Sukasari,PKH,861
32.73.01,Sukasari,PBI-JK,8647
32.73.19,Sumur Bandung,BPNT,993
32.73.19,Sumur Bandung,PKH,372
32.73.19,Sumur Bandung,PBI-JK,3671
32.73.26,Ujungberung,BPNT,3202
32.73.26,Ujungberung,PKH,2096
32.73.26,Ujungberung,PBI-JK,16438
